شیوه سرمایه‌گذاری,تاریخ به‌روز رسانی,نرخ اعلامی,بازده یک ساله, کل ارزش خالص دارایی‌ها  ,نماد,نام صندوق,آدرس سایت,وضعیت تماس
قابل معامله,1405/04/07,40.00%,38.15,"529,414,250,145,506",کارا,نوع دوم کارا,kara.charismafunds.ir,
قابل معامله,1405/04/05,38.84%,36.84,"526,607,332,730,718",یاقوت,یاقوت آگاه,yaghootfund.ir,
قابل معامله,1405/04/05,39.60%,37.82,"498,729,829,168,002",سپر,سپر سرمایه بیدار,separ.ebb.ir,
قابل معامله,1405/04/07,36.67%,36.851,"462,790,963,910,782",آوند,ثابت آوند مفید,avandetf.ir,
قابل معامله,1405/04/05,38.00%,37.81,"424,185,746,097,276",افران,افرا نماد پایدار,afra.fund,
قابل معامله,1405/04/05,39.00%,40.23,"406,173,116,542,973",پاسارگاد,در اوراق بهادار با درآمد ثابت پاسارگاد,pasargadetffund.ir,
قابل معامله,1405/04/01,37.00%,36.308,"386,470,685,743,869",کارین,در اوراق بهادار با درآمد ثابت نگین سامان,iran-kfunds4.ir,
قابل معامله,1405/04/05,39.50%,37.84,"374,883,440,093,200",کیان,در اوراق بهادار با درآمد ثابت کیان,kianfunds1.ir,
قابل معامله,1405/04/01,36.70%,37.78,"343,212,660,656,729",فیروزا,ارمغان فیروزه آسیا,firouzehfixetf.com,
قابل معامله,1405/04/05,38.00%,36.02,"311,129,114,326,465",اعتماد,اعتماد آفرین پارسیان,eap-fund.com,
قابل معامله,1405/04/01,39.50%,37.884,"267,650,043,613,332",لبخند,لبخند فارابی,labkhand.irfarabi.ir,
قابل معامله,1405/04/01,39.50%,37.051,"266,543,069,825,053",تداوم,تداوم اطمینان تمدن,tadavomtamadon.ir,
قابل معامله,1405/04/05,39.50%,38.02,"240,175,726,789,087",ثبات,ثبات ویستا,sobatvista.ir,
قابل معامله,1405/04/01,37.90%,37.887,"226,054,242,455,937",اونیکس,در اوراق بهادار با درآمد ثابت کیمیا,kimiafund.ir,
قابل معامله,1405/04/07,34.60%,33.11,"217,309,485,273,224",سپیدما,سپید دماوند,sepiddamavandfund.ir,
قابل معامله,1405/04/07,39%,37.991,"175,075,709,002,842",فردا,آوای فردای زاگرس,afzfund.ir,
قابل معامله,1405/04/07,40%,39.315,"153,956,263,318,180",ماهور,در اوراق بهادار با درآمد ثابت ماهور,mahoormeyar.ir,
قابل معامله,1405/04/07,38.16%,38.05,"148,307,155,548,307",توسکا,در اوراق بهادار با درآمد ثابت توسعه فولاد,tuskafund.ir,
قابل معامله,1405/04/05,38.50%,36.9,"143,664,039,492,706",کارآمد,در اوراق بهادار با درآمد ثابت کارآمد,karamadfund.ir,
قابل معامله,1405/04/05,38.00%,34.22,"127,947,176,699,000",اوصتا,اندیشه ورزان صبا تامین,sast.sabaamc.ir,
قابل معامله,1405/04/05,39.00%,37.46,"110,256,300,934,023",ارکیده,در اوراق بهادار با درآمد ثابت ارکیده,orkideh.fund,
قابل معامله,1405/04/07,36.42%,36.42,"87,655,634,219,534",شمیم,در اوراق بهادار با درآمد ثابت شمیم تابان مهرگان,shamimfund.ir,
قابل معامله,1405/04/05,38.70%,36.61,"85,188,023,627,528",پاداش,ارزش پاداش,arzeshpadash.com,
قابل معامله,1405/04/01,39.50%,36.955,"81,613,178,904,072",رشد,رشد پایدار آبان,rpfund.ir,
قابل معامله,1405/04/05,39.50%,39.09,"80,992,588,433,201",کاج,نوع دوم پایدار نو ویرا,vira-fund.ir,
